
Abby McDonald	 - The Liberation of Alice Love	 [5]
Brigid O'Donoghue, Edward Rutherfurd	 - Sarum	 [5]
Bruce Sterling	 - The Caryatids	 [5]
Bruce Sterling	 - The Zenith Angle	 [4]
Caitlin Kittredge	 - Daemonâ€™s Mark	 [5]
Caitlin Kittredge	 - Pure Blood: A Nocturne City Novel	 [5]
Camille DeAngelis	 - Petty Magic: Being the Memoirs and Confessions of Miss Evelyn Harbinger, Temptress and Troublemaker	 [5]
Caroline Kennedy	 - She Walks in Beauty: A Woman's Journey Through Poems	 [5]
Chanrithy Him	 - When Broken Glass Floats: Growing Up Under the Khmer Rouge	 [5]
Charlaine Harris	 - Dead Reckoning	 [5]
Charlaine Harris	 - Grave Secret	 [5]
Charles Dickens	 - Works of Charles Dickens	 [5]
Charles Freeman	 - The Closing of the Western Mind: The Rise of Faith and the Fall of Reason	 [5]
Chelsea's Family, Friends, Other Victims, Chelsea Handler	 - Lies That Chelsea Handler Told Me	 [5]
China Mieville	 - Embassytown	 [5]
Chloe Neill	 - Hard Bitten	 [5]
Chris Jericho, Peter Thomas Fornatale	 - Undisputed: How to Become the World Champion in 1,372 Easy Steps	 [5]
Chris Rylander	 - The Fourth Stall	 [5]
Christine Feehan	 - Savage Nature	 [5]
Christopher L. Bennett	 - Star Trek: DTI: Watching the Clock	 [5]
Christopher P. Andersen	 - Barack and Michelle	 [5]
Christy Yorke	 - The Wishing Garden	 [5]
CJ Lyons	 - Snake Skin	 [5]
Claudia Roden	 - The New Book of Middle Eastern Food	 [5]
Clay Blair	 - Hitler's U-Boat War: The Hunters, 1939-1942	 [5]
Clifton Campbell	 - The Glades	 [5]
Cordwainer Smith	 - The Best of Cordwainer Smith	 [5]
Cornelia Funke	 - Reckless	 [5]
Dan Deweese	 - You Don't Love This Man: A Novel	 [5]
Daphne Kalotay	 - Calamity and Other Stories	 [5]
David Baldacci	 - No Time Left	 [5]
David Baldacci	 - The Sixth Man	 [5]
David Gemmell	 - Lord of the Silver Bow	 [5]
David Gemmell	 - Shield of Thunder	 [5]
David Gemmell, Stella Gemmell	 - Troy: Fall of Kings	 [5]
David Gerrold	 - A Day for Damnation	 [5]
David Gerrold	 - A Matter for Men	 [5]
David Gerrold	 - A Rage for Revenge	 [5]
David Gerrold	 - A Season for Slaughter	 [5]
David Gibbins, Gerardo Di Masso	 - Atlantis	 [5]
David Leite, Nuno Correia	 - The New Portuguese Table: Exciting Flavors From Europe's Western Coast	 [5]
David Liss	 - The Devil's Company: A Novel	 [5]
David Liss	 - The Ethical Assassin: A Novel	 [5]
David Thorne	 - The Internet Is a Playground	 [5]
Dean Koontz	 - Cold Fire	 [5]
Debbie Macomber	 - A Turn in the Road	 [5]
Deborah J. Swiss	 - The Tin Ticket: The Heroic Journey of Australia's Convict Women	 [5]
Demetri Martin	 - This Is a Book	 [5]
Diana Barrios TreviÃ±o, Emeril Lagasse	 - Los Barrios Family Cookbook: Tex-Mex Recipes From the Heart of San Antonio	 [5]
Diana Joseph	 - I'm Sorry You Feel That Way: The Astonishing but True Story of a Daughter, Sister, Slut, Wife, Mother, and Friend to Man and Dog	 [5]
Diana Palmer	 - The Men of Medicine Ridge	 [5]
Dick Van Dyke	 - My Lucky Life in and Out of Show Business: A Memoir	 [5]
Don Delillo	 - Falling Man: A Novel	 [5]
Don Rearden	 - The Raven's Gift	 [5]
Donn Pearce	 - Cool Hand Luke	 [5]
Dorothy Garlock	 - This Loving Land	 [5]
Doug Beyer	 - Alara Unbroken	 [5]
Douglas Preston, Lincoln Child	 - Fever Dream	 [5]
Edeet Ravel	 - A Wall of Light	 [5]
Edgar Wallace	 - Bones in London	 [5]
Edgar Wallace	 - Bones of the River	 [5]
Edgar Wallace	 - Sanders & Bones-The African Adventures: 4-Lieutenant Bones & Bones in London	 [5]
Edward Rutherfurd	 - The Forest	 [5]
Elana Amsterdam	 - The Gluten-Free Almond Flour Cookbook	 [5]
Elizabeth George	 - I, Richard	 [5]
Emily Giffin	 - Something Blue	 [4]
Emma Donoghue	 - Room: A Novel	 [5]
Eoin Colfer	 - Artemis Fowl	 [5]
Eoin Colfer	 - The Artemis Fowl files	 [5]
Eric Greitens	 - The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL	 [4]
Erik Larson	 - In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin	 [5]
Erik Larson	 - In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin	 [5]
Erik Larson	 - Thunderstruck	 [5]
Fannie Flagg	 - Cannot Wait to Get to Heaven	 [5]
Fern Michaels	 - Southern Comfort	 [5]
Frances Gies, Joseph Gies	 - Cathedral, Forge, and Waterwheel: Technology and Invention in the Middle Ages	 [5]
Gary M. Pomerantz	 - Wilt, 1962: The Night of 100 Points and the Dawn of a New Era	 [5]
Gary Ralston	 - Rangers 1872: The Gallant Pioneers	 [5]
Geraldine Brooks	 - Caleb's Crossing	 [5]
Geraldine Brooks	 - Foreign Correspondence: A Pen Pal's Journey From Down Under to All Over	 [5]
Geraldine Brooks	 - March	 [5]
Geraldine Brooks	 - Nine Parts of Desire: The Hidden World of Islamic Women	 [5]
Giada De Laurentiis	 - Everyday Italian: 125 Simple and Delicious Recipes	 [5]
Glen Cook	 - A Matter of Time	 [4]
GÃ¶tz Aly, Michael Sontheimer, Shelley Frisch	 - Fromms: How Julius Fromm's Condom Empire Fell to the Nazis	 [5]
Harry Turtledove	 - American Empire: Blood and Iron	 [5]
Harry Turtledove	 - American Empire: The Victorious Opposition	 [5]
Harry Turtledove	 - Colonization: Aftershocks	 [5]
Harry Turtledove	 - Colonization: Down to Earth	 [5]
Harry Turtledove	 - Colonization: Second Contact	 [5]
Harry Turtledove	 - Hitler's War	 [5]
Harry Turtledove	 - Homeward Bound	 [5]
Harry Turtledove	 - How Few Remain	 [5]
Harry Turtledove	 - Krispos Rising	 [5]
Harry Turtledove	 - Liberating Atlantis	 [5]
Harry Turtledove	 - Settling Accounts : Return Engagement	 [5]
Harry Turtledove	 - Settling Accounts: Drive to the East	 [5]
Harry Turtledove	 - Settling Accounts: In at the Death	 [5]
Harry Turtledove	 - Settling Accounts: The Grapple	 [5]
Harry Turtledove	 - The Best Alternate History Stories of the 20th Century	 [5]
Harry Turtledove	 - The Best Military Science Fiction of the 20th Century	 [5]
Harry Turtledove	 - The Great War: American Front	 [5]
Harry Turtledove	 - The Great War: Breakthroughs	 [5]
Harry Turtledove	 - The Great War: Walk in Hell	 [5]
Harry Turtledove	 - The Man With the Iron Heart	 [5]
Harry Turtledove	 - The Tale of Krispos: Krispos Rising Krispos of Videssos Krispos the Emperor	 [5]
Harry Turtledove	 - The War That Came Early: West and East	 [5]
Harry Turtledove	 - Worldwar: In the Balance	 [5]
Harry Turtledove	 - Worldwar: In/Tiling the Balance	 [5]
Harry Turtledove	 - Worldwar: Striking the Balance	 [5]
Harry Turtledove	 - Worldwar: Upsetting the Balance	 [5]
Heather Lauer	 - Bacon: A Love Story	 [5]
Heinrich Boll	 - The Train Was On Time	 [5]
Helen Hollick	 - I Am the Chosen King	 [5]
Henry Petroski	 - Engineers of Dreams: Great Bridge Builders and the Spanning of America	 [5]
Henry Petroski	 - The Evolution of Useful Things	 [5]
HervÃ© This	 - The Science of the Oven	 [5]
Homer Hickam	 - Rocket Boys	 [5]
Howard Blum	 - American Lightning: Terror, Mystery, the Birth of Hollywood, and the Crime of the Century	 [5]
Howard E. Wasdin, Stephen Templin	 - SEAL Team Six	 [5]
Iain Pears	 - The Dream of Scipio	 [5]
Ida Hattemer-Higgins	 - The History of History	 [5]
Iris Johansen	 - Chasing the Night	 [5]
Iris Johansen	 - Eve	 [5]
J. Dane Tyler	 - A Fine Cast of Characters	 [5]
J. Gregory Keyes	 - The Shadows of God	 [5]
Jack Ketchum, Lucky McKee	 - Red	 [5]
Jaclyn Wilson Foley, Ray Foley	 - Skinny Cocktails: The Only Guide You'll Ever Need To Go Out, Have Fun, and Still Fit Into Your Skinny Jeans	 [5]
James Beard	 - James Beard's New Fish Cookery	 [5]
James Burke	 - The Day the Universe Changed	 [5]
James D. Hornfischer	 - The Last Stand of the Tin Can Sailors: The Extraordinary World War II Story of the U.S. Navy's Finest Hour	 [5]
James Patrick Kelly, John Kessel	 - Rewired: The Post-Cyberpunk Anthology	 [5]
James Patterson	 - Judge & Jury	 [5]
James Salter, Kay Salter	 - Life Is Meals: A Food Lover's Book of Days	 [5]
James Thayer	 - Five Past Midnight	 [5]
Jamie Zeppa	 - Beyond the Sky and the Earth: A Journey Into Bhutan	 [5]
Jane Grigson	 - Jane Grigson's Fish Book	 [5]
Jane Mendelsohn	 - American Music	 [5]
Jane Smiley	 - The All-True Travels and Adventures of Lidie Newton: A Novel	 [5]
Janet Chadwick	 - The Beginner's Guide to Preserving Food at Home	 [5]
Janice Hamrick	 - Death on Tour	 [5]
Janni Lee Simner	 - Bones of Faerie	 [5]
Janni Lee Simner	 - Faerie Winter	 [5]
Janni Lee Simner	 - Thief Eyes	 [5]
Jean Anderson	 - A Love Affair With Southern Cooking: Recipes and Recollections	 [5]
Jean Anthelme Brillat-savarin, M. F. K. Fisher	 - The Physiology of Taste: Or Meditations on Transcendental Gastronomy	 [5]
Jean-Louis Fournier	 - Where We Going, Daddy?: Life with Two Sons Unlike Any Other	 [5]
Jeff Strand	 - Dweller	 [5]
Jefferson Bass	 - Carved in Bone	 [5]
Jeffrey Steingarten	 - It Must've Been Something I Ate: The Return of the Man Who Ate Everything	 [5]
Jennifer Egan	 - A Visit From the Goon Squad	 [5]
Jess Row	 - The Train to Lo Wu	 [5]
Jesse James	 - American Outlaw	 [5]
Jesse Ventura, Dick Russell	 - 63 Documents the Government Doesn't Want You to Read	 [5]
Jill Kelly, Tim McGraw, Faith Hill	 - Without a Word: How a Boy's Unspoken Love Changed Everything	 [5]
Jo NesbÃ¸, Don Bartlett	 - The Snowman	 [5]
Jodi Picoult	 - Harvesting the Heart	 [5]
Jody Adams, Ken Rivard	 - In the Hands of a Chef	 [5]
Joe Haldeman	 - Starbound	 [5]
John Cheever	 - The Wapshot Chronicle	 [5]
John Crowley	 - Novelties & Souvenirs: Collected Short Fiction	 [5]
John Crowley	 - Otherwise: Three Novels by John Crowley	 [5]
John Elder Robison	 - Be Different: Adventures of a Free-Range Aspergian With Practical Advice for Aspergians, Misfits, Families & Teachers	 [5]
John Grisham	 - Bleachers	 [5]
John Lutz	 - Chill of Night	 [5]
John Marchese	 - The Violin Maker: Finding a Centuries-Old Tradition in a Brooklyn Workshop	 [5]
John Sandford	 - Buried Prey	 [5]
John Sandford	 - Storm Prey	 [5]
Jonathan Kellerman, Faye Kellerman	 - Double Homicide	 [5]
Jonathan Lethem	 - As She Climbed Across the Table	 [5]
Jonathan Safran Foer	 - Everything Is Illuminated	 [5]
Jonathan Strahan	 - Eclipse 4: New Science Fiction and Fantasy SC	 [5]
Joseph Boyden	 - Through Black Spruce: A Novel	 [5]
Joseph Conrad	 - The Rescue	 [5]
Judy Reene Singer	 - An Inconvenient Elephant	 [5]
Julie Andrews	 - Home: A Memoir of My Early Years	 [4]
Julie Kenner	 - Carpe Demon: Adventures of a Demon-Hunting Soccer Mom	 [5]
Julie Klam	 - You Had Me at Woof: How Dogs Taught Me the Secrets of Happiness	 [5]
Juliet R. V. Barker	 - Agincourt: Henry v and the Battle That Made England	 [5]
Karen Armstrong	 - Twelve Steps to a Compassionate Life	 [5]
Karen Harper	 - The Hiding Place	 [5]
Kate Gordon	 - Thyla	 [5]
Katharine Kerr	 - A Time of Omens	 [5]
Katharine Kerr	 - The Silver Mage	 [5]
Kathleen Burk, Michael Bywater	 - Is This Bottle Corked?: The Secret Life of Wine	 [5]
Kay Hooper	 - Always a Thief	 [5]
Kay Hooper	 - Sense of Evil	 [5]
Ken Harmon	 - The Fat Man: A Tale of North Pole Noir	 [5]
Kim Harrison	 - Early to Death, Early to Rise	 [5]
Kim Harrison	 - Once Dead, Twice Shy	 [5]
Kirsten Hubbard	 - Like Mandarin	 [5]
Kris Saknussemm	 - Enigmatic Pilot: A Tall Tale Too True	 [5]
Kristin Cashore	 - Fire	 [5]
Kurt Vonnegut	 - Bluebeard	 [5]
Kurt Vonnegut	 - God Bless You, Mr. Rosewater: Or, Pearls Before Swine	 [5]
Kurt Vonnegut	 - Hocus Pocus	 [5]
Kurt Vonnegut	 - Jailbird	 [5]
Kurt Vonnegut	 - Palm Sunday: An Autobiographical Collage	 [5]
Kurt Vonnegut	 - Sirens of Titan	 [5]
Kurt Vonnegut	 - Slapstick, Or, Lonesome No More!	 [5]
Kurt Vonnegut	 - Timequake	 [5]
Lawrence Block	 - The Trouble With Eden	 [5]
Lawrence M. Friedman	 - Crime and Punishment in American History	 [5]
Lee Child	 - Worth Dying For: A Reacher Novel	 [5]
Lee Langley	 - Butterfly's Shadow	 [5]
Linda Howard	 - Come Lie With Me	 [5]
Linda West Eckhardt, Katherine West Defoyd	 - The High-Protein Cookbook: More Than 150 Healthy and Irresistibly Good Low-Carb Dishes That Can Be on the Table in Thirty Minutes or Less.	 [5]
Lisa Jackson	 - Lisa Jackson's Bentz & Montoya Bundle: Hot Blooded, Cold Blooded, Shiver, Absolute Fear, Lost Souls, Malice, & an Exclusive Extended Excerpt From Devious	 [5]
Liz Curtis Higgs	 - Mine Is the Night: A Novel	 [5]
Lori Foster	 - When You Dare	 [5]
Lynne Rossetto Kasper, Sally Swift	 - The Splendid Table's How to Eat Supper: Recipes, Stories, and Opinions from Public Radio's Award-Winning Food Show	 [5]
M. C. Beaton	 - Death of a Valentine	 [5]
Madeline Hunter	 - Dangerous in Diamonds	 [5]
Madhu Gadia	 - The Indian Vegan Kitchen: More Than 150 Quick and Healthy Homestyle Recipes	 [5]
Manning Marable	 - Malcolm X: A Life of Reinvention	 [5]
Marcus Luttrell, Patrick Robinson	 - Lone survivor: the eyewitness account of Operation Redwing and the lost heroes of SEAL team 10	 [4]
Margaret Atwood	 - The Blind Assassin	 [5]
Margaret Laurence	 - A Jest of God	 [5]
Margaret Mittelbach, Michael Crewdson, Alexis Rockman	 - Carnivorous Nights: On the Trail of the Tasmanian Tiger	 [5]
Mariah Stewart	 - Dead Certain	 [5]
Mariah Stewart	 - Dead Even	 [5]
Mariah Stewart	 - The President's Daughter	 [5]
Mariah Stewart	 - Until Dark	 [5]
Marie-Annick Courtier	 - Cooking Well: Osteoporosis: Over 75 Easy and Delicious Recipes for Building Strong Bones	 [5]
Mario Batali, Mark Ladner	 - Molto Gusto: Easy Italian Cooking	 [5]
Mario Puzo	 - The Fortunate Pilgrim	 [5]
Mario Vargas Llosa	 - The War of the End of the World	 [5]
Marion Nestle	 - Safe Food: Bacteria, Biotechnology, and Bioterrorism	 [5]
Mark Bitterman	 - Salted: A Manifesto on the World's Most Essential Mineral, With Recipes	 [5]
Mark Frost	 - The Six Messiahs	 [5]
Mark Lee Gardner	 - To Hell on a Fast Horse: Billy the Kid, Pat Garrett, and the Epic Chase to Justice in the Old West	 [5]
Mark Pendergrast	 - Uncommon Grounds: The History of Coffee and How It Transformed Our World	 [5]
Mark Urban	 - Rifles	 [5]
Mark Wagner, Guy Norris	 - Boeing 787 Dreamliner	 [5]
Marq de Villiers	 - Windswept: The Story of Wind and Weather	 [5]
Martha Stewart Living Magazine	 - Fresh Flavor Fast: 250 Easy, Delicious Recipes for Any Time of Day	 [5]
Mary Doria Russell	 - Doc	 [5]
Mary Higgins Clark	 - I'll Walk Alone	 [5]
Mary South	 - The Cure for Anything Is Salt Water: How I Threw My Life Overboard and Found Happiness at Sea	 [5]
Matt Lee, Ted Lee	 - The Lee Bros. Simple Fresh Southern: Knockout Dishes With Down-Home Flavor	 [5]
Matthew Gallaway	 - The Metropolis Case: A Novel	 [5]
Matthew Logelin	 - Two Kisses for Maddy: A Memoir of Loss & Love	 [5]
Mavis Gallant, Robertson Davies	 - Across the Bridge	 [5]
Max Allan Collins	 - Quarry in the Middle	 [5]
Maxine Hong Kingston	 - I Love a Broad Margin to My Life	 [5]
Maxine Hong Kingston	 - The Woman Warrior: Memoirs of a Girlhood Among Ghosts	 [5]
Meg Cabot	 - Abandon	 [5]
Melissa Coleman	 - This Life Is in Your Hands: One Dream, Sixty Acres, and a Family Undone	 [5]
Michael Burleigh	 - Blood and Rage: A Cultural History of Terrorism	 [5]
Michael Crummey	 - Galore	 [5]
Michael Feeney Callan	 - Robert Redford	 [5]
Michael Grant	 - The Call	 [5]
Michael Moorcock	 - Duke Elric	 [5]
Michael Moorcock	 - Elric in the Dream Realms	 [5]
Michael Moorcock	 - Elric to Rescue Tanelorn	 [5]
Michael Moorcock	 - Elric: The Stealer of Souls	 [5]
Michael Moorcock, Steve Ellis	 - Elric: The Sleeping Sorceress	 [5]
Michael Moorcock, Tad Williams	 - Elric Swords and Roses	 [5]
Michael Munn	 - John Wayne : The Man Behind the Myth	 [5]
Michael Pearson	 - The Indian Ocean	 [5]
Michael Swanwick	 - Dancing With Bears	 [5]
Michelle Rowen	 - Stakes & Stilettos	 [5]
Mike Ashley	 - The Mammoth Book of Apocalyptic SF	 [5]
Mike Dash	 - Batavia's Graveyard	 [5]
Miranda Weiss	 - Tide, Feather, Snow: A Life in Alaska	 [5]
Mitchell Zuckoff	 - Lost in Shangri-La: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II	 [5]
Mollie Katzen	 - Get Cooking: 150 Simple Recipes to Get You Started in the Kitchen	 [5]
Mykle Hansen	 - HELP! A Bear Is Eating Me!	 [5]
Nancy Marie Brown	 - The Abacus and the Cross: The Story of the Pope Who Brought the Light of Science to the Dark Ages	 [5]
Nani Power	 - Ginger and Ganesh: Adventures in Indian Cooking, Culture, and Love	 [5]
Neal Stephenson	 - The Big U	 [5]
Neal Stephenson	 - The Diamond Age	 [5]
Niall Ferguson	 - The Ascent of Money: A Financial History of the World	 [5]
Nicci Gerrard	 - The Winter House	 [5]
Oasis	 - Duplicity: A Novel	 [5]
Oasis	 - Push Comes to Shove	 [5]
Oliver Bowden	 - Renaissance	 [5]
Patricia Briggs	 - Masques	 [5]
Patricia Briggs	 - When Demons Walk	 [5]
Patricia Briggs	 - Wolfsbane	 [5]
Pattie Vargas, Rich Gulling	 - Making Wild Wines & Meads: 125 Unusual Recipes Using Herbs, Fruits, Flowers & More	 [5]
Paul Murray	 - An Evening of Long Goodbyes	 [5]
Paula H. Deen	 - The Lady & Sons Savannah Country Cookbook	 [5]
Pauline Gedge	 - House of Dreams	 [5]
Pauline Gedge	 - House of Illusions	 [5]
Pauline Gedge	 - Scroll of Saqqara	 [5]
Pete Dexter	 - The Paperboy	 [5]
Peter Carey	 - The Tax Inspector	 [5]
Peter Guber	 - Tell to Win: Connect, Persuade, and Triumph With the Hidden Power of Story	 [5]
Philip K Dick	 - The Eyes Have It	 [3]
Phoebe Damrosch	 - Service Included: Four-Star Secrets of an Eavesdropping Waiter	 [5]
Pierre Dukan	 - The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever	 [5]
R.A. Scotti	 - Sudden Sea: The Great Hurricane of 1938	 [5]
Rachel Gibson	 - Any Man of Mine	 [5]
Randy Alcorn	 - The Chasm: A Journey to the Edge of Life	 [5]
Ray Foley	 - The Rum 1000: The Ultimate Collection of Rum Cocktails, Recipes, Facts, and Resources	 [5]
Raymond A. Sokolov	 - The Saucier's Apprentice: A Modern Guide to Classic French Sauces for the Home	 [5]
Redmond O'Hanlon	 - Trawler: A Journey Through the North Atlantic	 [5]
Reza Kahili	 - A Time to Betray: The Astonishing Double Life of a CIA Agent Inside the Revolutionary Guards of Iran	 [5]
Richard Harvell	 - The Bells: A Novel	 [5]
Richard Montanari	 - Badlands	 [5]
Rick Curry	 - The Secrets of Jesuit Soupmaking: A Year of Our Soups	 [5]
Roald Dahl	 - Danny the Champion of the World	 [5]
Roald Dahl	 - Fantastic Mr Fox	 [5]
Roald Dahl	 - James and the Giant Peach	 [5]
Roald Dahl, Quentin Blake	 - Charlie and the Great Glass Elevator	 [5]
Roald Dahl, Quentin Blake	 - George's Marvellous Medicine	 [5]
Rob Bell	 - Love Wins: Telling a New Story About Heaven and Hell. By Rob Bell	 [5]
Rob Lowe	 - Stories I Only Tell My Friends: An Autobiography	 [5]
Robert B. Parker	 - Sixkill	 [5]
Robert B. Wintermute	 - Zendikar: In the Teeth of Akoum	 [5]
Robert Baer, Dayna Baer	 - The Company We Keep: A Husband-And-Wife True-Life Spy Story	 [5]
Robert Crais	 - Lullaby Town	 [5]
Robert Crais	 - Stalking the Angel	 [5]
Robert Hughes	 - The Fatal Shore	 [5]
Robert Leckie	 - Challenge for the Pacific: Guadalcanal: The Turning Point of the War	 [5]
Robert Leckie	 - Okinawa: The Last Battle of World War II	 [5]
Robert S. McElvaine	 - The Great Depression: America, 1929-1941	 [5]
Robert Sullivan	 - Rats: A Year With New York's Most Unwanted Inhabitants	 [5]
Robert V. S. Redick	 - The Red Wolf Conspiracy	 [5]
Robert V. S. Redick	 - The Ruling Sea	 [5]
Robert Wintermute	 - Scars of Mirrodin: The Quest for Karn: Scars of Mirrodin Bloc	 [5]
Robyn Carr	 - Sheltering Hearts	 [5]
Rohinton Mistry	 - A Fine Balance	 [5]
Rohinton Mistry	 - Family Matters	 [5]
Ron Paul	 - Liberty Defined: 50 Essential Issues That Affect Our Freedom	 [5]
Ronald Reagan	 - The Notes	 [5]
Rosamunde Pilcher	 - Coming Home	 [5]
Ross Macdonald	 - The Zebra-Striped Hearse	 [5]
Ross Thomas, Sarah Paretsky	 - The Fourth Durango	 [5]
Roy Porter	 - Enlightenment	 [5]
Rudolph Chelminski	 - I'll Drink to That: Beaujolais and the French Peasant Who Made It the World's Most Popular Wine	 [5]
Running Press	 - The Great Big Cheese Cookbook	 [5]
Russell Shorto	 - The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America	 [5]
Russell Shorto	 - The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America	 [5]
Sally Koslow	 - The Late, Lamented Molly Marx	 [5]
Salman Rushdie	 - Midnight's Children: A Novel	 [5]
Samuel McHarry, Joe Henry Mitchell	 - The Practical Distiller	 [5]
Sara Douglass	 - Beyond the Hanging Wall	 [5]
Sarah Dessen	 - Along for the Ride	 [5]
Saul Frampton	 - When I Am Playing With My Cat, How Do I Know That She Is Not Playing With Me?: Montaigne and Being in Touch With Life	 [5]
Scott Mariani	 - Alchemist's Secret	 [5]
Scott Mariani	 - Doomsday Prophecy	 [5]
Scott Mariani	 - The Mozart Conspiracy	 [5]
Shane Peacock	 - The Secret Fiend	 [5]
Shania Twain	 - From This Moment On	 [5]
Sharyn McCrumb	 - Once Around the Track	 [5]
Shaughnessy Bishop-Stall	 - Ghosted	 [5]
Sherrilyn Kenyon	 - Born of Shadows	 [5]
Sherryl Woods	 - Moonlight Cove	 [5]
Shirley P. Glass, Jean Coppock Staeheli	 - Not "Just Friends": Rebuilding Trust and Recovering Your Sanity After Infidelity	 [5]
Skip Horack	 - The Eden Hunter: A Novel	 [5]
Sonny Barger, Darwin Holmstrom	 - Let's Ride: Sonny Barger's Guide to Motorcycling	 [5]
Stephanie Coontz	 - A Strange Stirring: The Feminine Mystique and American Women at the Dawn of the 1960s	 [5]
Stephanie O'Dea	 - More Make It Fast, Cook It Slow: 200 Brand New Recipes for Slow Cooker Meals on a Budget	 [5]
Stephen Chambers	 - Jane and the Raven King	 [5]
Steve Earle	 - I'll Never Get Out of This World Alive	 [5]
