iMovie Thumbnails/clip-2010-08-25 11;32;07,2.1,M
iMovie Thumbnails/clip-2010-08-25 10;59;47,1.73,M
iMovie Thumbnails/clip-2010-08-25 11;22;47,1.65,M
iMovie Thumbnails/clip-2010-08-25 11;12;49,1.57,M
iMovie Thumbnails/clip-2010-08-25 11;41;35,1.56,M
iMovie Thumbnails/clip-2010-08-25 11;05;29,1.47,M
iMovie Thumbnails/clip-2010-08-25 11;22;08,1.47,M
iMovie Thumbnails/clip-2010-08-25 11;03;01,1.47,M
iMovie Thumbnails/clip-2010-08-25 11;24;16,1.47,M
iMovie Thumbnails/clip-2010-08-25 11;44;06,1.38,M
iMovie Thumbnails/clip-2010-08-25 11;43;13,1.29,M
iMovie Thumbnails/clip-2010-08-25 11;25;40,1.29,M
iMovie Thumbnails/clip-2010-08-25 11;41;56,1.28,M
iMovie Thumbnails/clip-2010-08-25 11;23;04,1.19,M
iMovie Thumbnails/clip-2010-08-25 11;05;49,1.1,M
iMovie Thumbnails/clip-2010-08-25 11;07;22,1.02,M
iMovie Thumbnails/clip-2010-08-25 12;51;30,945.66,K
iMovie Thumbnails/clip-2010-08-25 11;42;38,939.24,K
iMovie Thumbnails/clip-2010-08-25 11;25;54,846.92,K
iMovie Thumbnails/clip-2010-08-25 11;25;00,846.21,K
iMovie Thumbnails/clip-2010-08-25 11;19;43,753.89,K
iMovie Thumbnails/clip-2010-08-25 11;43;41,750.87,K
iMovie Thumbnails/clip-2010-08-25 12;36;51,750.01,K
iMovie Thumbnails/clip-2010-08-25 12;47;45,664.11,K
iMovie Thumbnails/clip-2010-08-25 11;20;11,662.49,K
iMovie Thumbnails/clip-2010-08-25 12;47;26,568.33,K
iMovie Thumbnails/clip-2010-08-25 11;20;37,566.49,K
iMovie Thumbnails/clip-2010-08-25 11;24;41,564.19,K
iMovie Thumbnails/clip-2010-08-25 11;21;02,472.74,K
iMovie Thumbnails/clip-2010-08-25 11;20;55,379.32,K
iMovie Thumbnails/clip-2010-08-25 11;07;49,379.11,K
iMovie Thumbnails/clip-2010-08-25 11;41;46,371.85,K
clip-2010-08-25 12;39;21.mov,549.9,M
clip-2010-08-25 12;25;29.mov,205.67,M
clip-2010-08-25 12;29;35.mov,186.71,M
clip-2010-08-25 12;37;23.mov,114.49,M
clip-2010-08-25 11;36;58.mov,108.65,M
clip-2010-08-25 11;38;29.mov,75.05,M
clip-2010-08-25 11;32;30.mov,72.46,M
clip-2010-08-25 12;28;22.mov,71.81,M
clip-2010-08-25 11;26;04.mov,63.93,M
clip-2010-08-25 12;49;55.mov,52.69,M
clip-2010-08-25 11;09;49.mov,39.01,M
clip-2010-08-25 12;35;39.mov,35.6,M
clip-2010-08-25 11;21;36.mov,32.49,M
clip-2010-08-25 11;23;39.mov,28.11,M
clip-2010-08-25 12;49;13.mov,27.13,M
clip-2010-08-25 11;26;58.mov,25.98,M
clip-2010-08-25 12;48;23.mov,25.84,M
clip-2010-08-25 12;36;26.mov,23.21,M
clip-2010-08-25 11;03;53.mov,21.5,M
clip-2010-08-25 12;36;59.mov,20.79,M
clip-2010-08-25 12;48;51.mov,20.06,M
clip-2010-08-25 11;31;21.mov,18.49,M
clip-2010-08-25 11;22;23.mov,18.47,M
clip-2010-08-25 12;34;19.mov,17.32,M
clip-2010-08-25 11;31;48.mov,17.1,M
clip-2010-08-25 12;24;24.mov,16.24,M
clip-2010-08-25 11;17;24.mov,15,M
clip-2010-08-25 11;32;07.mov,14.41,M
clip-2010-08-25 10;59;47.mov,11.78,M
clip-2010-08-25 11;22;47.mov,11.56,M
clip-2010-08-25 11;41;35.mov,10.97,M
clip-2010-08-25 11;12;49.mov,10.64,M
clip-2010-08-25 11;05;29.mov,10.5,M
clip-2010-08-25 11;03;01.mov,10.17,M
clip-2010-08-25 11;22;08.mov,10.01,M
clip-2010-08-25 11;24;16.mov,9.96,M
clip-2010-08-25 11;44;06.mov,9.56,M
clip-2010-08-25 11;43;13.mov,9.06,M
clip-2010-08-25 11;25;40.mov,8.89,M
clip-2010-08-25 11;41;56.mov,8.81,M
clip-2010-08-25 11;23;04.mov,8.14,M
clip-2010-08-25 11;05;49.mov,7.45,M
clip-2010-08-25 11;07;22.mov,6.94,M
clip-2010-08-25 12;51;30.mov,6.64,M
clip-2010-08-25 11;42;38.mov,6.56,M
clip-2010-08-25 11;25;54.mov,5.87,M
clip-2010-08-25 11;25;00.mov,5.75,M
clip-2010-08-25 11;19;43.mov,5.34,M
clip-2010-08-25 11;43;41.mov,5.3,M
clip-2010-08-25 12;36;51.mov,5.22,M
clip-2010-08-25 12;47;45.mov,4.98,M
clip-2010-08-25 11;20;11.mov,4.95,M
clip-2010-08-25 12;47;26.mov,4.21,M
clip-2010-08-25 11;20;37.mov,4.1,M
clip-2010-08-25 11;24;41.mov,4.05,M
clip-2010-08-25 11;21;02.mov,3.56,M
clip-2010-08-25 11;07;49.mov,3.06,M
clip-2010-08-25 11;20;55.mov,2.86,M
clip-2010-08-25 11;41;46.mov,2.84,M
