Carter Burwell - Sailing  Operations Still
Trevor Rabin - Meet The Team                     Gone in 60 Seconds
Hans Zimmer - Dream Is Collapsing                Inception
Hans Zimmer - Old Souls                          Inception
Hans Zimmer - Dream Within A Dream               Inception
Hans Zimmer - Time                               Inception
Ramin Djawadi - Driving With The Top Down        Iron Man
Ramin Djawadi - Arc Reaktor                      Iron Man
Various Artists - James Bond Theme               James Bond 007
John Williams - Main Title and First Victim      Jaws
Brian Tyler - Main Title                         John Rambo
John Williams - Welcome to Jurassic Park         Jurassic Park
Gheorghe Zamfir - The Lonely Shepherd            Kill Bill Vol. 1
Hans Zimmer  - Woad To Ruin                      King Arthur
Hans Zimmer  - All Of Them                       King Arthur
Two Steps From Hell - Heart of Courage           Legend
Larry Mullen and Adam Clayton - Main Theme       Mission Impossible
Clint Mansell - Are You Receiving                Moon
Ramin Djawadi - The Thumbprint Killer            Mr. Brooks
Soundtrack - National Treasure Suite             National Treasure
Soundtrack - The Chase                           National Treasure
Geoff Zanelli - Setting The Trap                 Outlander
Geoff Zanelli - Kainan Becomes King              Outlander
Hans Zimmer - Parlay                             Pirates of the Caribbean: AWE
Hans Zimmer - Drink Up Me Hearties               Pirates of the Caribbean: AWE
Klaus Badelt - Barbossa is Hungry                Pirates of the Caribbean: TBP
Klaus Badelt - He's A Pirate                     Pirates of the Caribbean: TBP
Elliot Goldenthal - JD Dies                      Public Enemy
Hans Zimmer - Main Themes                        Rain Man
Clint Mansell - Lux Aeterna                      Requiem for a Dream
Charlie Clouser - Main Title                     Resident Evil: Extinction
Lord of The Rings - Twlight And Shadow           Return of the King
Bill Conti - Gonna Fly Now                       Rocky Balboa
Vince DiCola - Training Montage                  Rocky IV
Harold Faltermeyer - Main Theme                  Running Man
Charlie Clouser - Hello Zepp                     Saw
Clint Mansell - Dead Reckoning                   Smokin' Aces
John Murphy - Kanada's Death, Pt. 2 (Adagio In D Minor)  Sunshine
Paul Oakenfold - Password                        Swordfish
Harold Faltermeyer - Set up[Ghost Version]       Tango & Cash
Harold Faltermeyer - Cash in the tunnel - Guards theme - Conan fries  Tango & Cash
Harold Faltermeyer - Off road battle             Tango & Cash
Brad Fiedel - Main Title                         Terminator 2: Judgement Day
Trevor Rabin - Adam Goes Home                    The 6th Day
Hans Zimmer - Chevaliers De Sangreal             The Da Vinci Code
Hans Zimmer and James Newton Howard - Like A Dog Chasing Cars  The Dark Knight
Mighty Hunter                                    The Edge
Mike Oldfield - Tubular Bells                    The Exorcist
Ennio Morricone - Main Title                     The Good, The Bad, And the Ugly
Trevor Jones and Randy Edelman - Last of the Mohicans  The Last of the Mohicans
Hans Zimmer - Red Warrior                        The Last Samurai
Hans Zimmer - A Small Measure Of Peace           The Last Samurai
Graeme Revell  - Main Title                      The Negotiator
Nick Glennie-Smith, Hans Zimmer, Harry Gregson-Williams - Hummell Gets The Rockets                                          The Rock
Nick Glennie-Smith, Hans Zimmer, Harry Gregson-Williams - Rock House Jail                                             The Rock
Hans ZimmerNick Glennie-SmithHarry Gregson-Williams - Rocket Away                                             The Rock
Harry Gregson-Williams - Money Run               The Taking of Pelham 123
Hans Zimmer - Journey To The Line                The Thin Red Line
Mark Snow - X-Files Theme                        The X-Files
Brian Tyler - Enter The Wormhole                 Timeline
James Horner  - Rose                             Titanic
Alan Silvestri - Opening                         Tomb Raider: The Cradle of Life
Steve Jablonsky - Sam Our Hero                   Transformers
Steve Jablonsky - Prime                          Transformers: Revenge of the Fallen
Steve Jablonsky - Nest                           Transformers: Revenge of the Fallen
Steve Jablonsky - Infinite White                 Transformers: Revenge of the Fallen 
Steve Jablonsky - I Rise, You Fall               Transformers: Revenge of the Fallen 
Alexandre Azaria - Main Theme                    Transporter 2
Klaus Badelt - Six Speaks                        Ultraviolet
ES Posthumus - Nara                              Unfaithful
Alan Silvestri - Journey to Transylvania         Van Helsing
Danny Elfman - Fate                              Wanted
Tyler Bates - Prison Fight                       Watchmen
