iTunes Ready
Below is export from iTunes. ALL song filled with info 

Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Blind	Jason Derulo		Jason Derulo		Pop	6905156	217			9		2010	04/04/2011 22:06	27/04/2011 19:50	240	44100		MPEG audio file			1	28/04/2011 14:57				C:\Users\Chris\Music\MUSIC (FINISHED)\Jason Derulo\Jason Derulo\Blind.mp3
Down	Jay Sean	J Sean, J Cotter, R. Larow, J. Skaller & J. Perkins	Down (feat. Lil Wayne) - EP		R&B/Soul	8493416	211			1		2009	25/03/2011 14:11	27/04/2011 19:50	320	48000		MPEG audio file			2	28/04/2011 15:46				C:\Users\Chris\Music\MUSIC (FINISHED)\Jay Sean\Down (feat. Lil Wayne) - EP\01 Down.mp3
2012 (It Aint The End)	Jay Sean		2012 - Single		Pop	10180069	254			17		2010	20/04/2011 12:49	27/04/2011 19:50	320	48000		MPEG audio file			2	28/04/2011 15:51				C:\Users\Chris\Music\MUSIC (FINISHED)\Jay Sean\2012 - Single\2012 (It Aint The End).mp3
On the Floor	Jennifer Lopez 	Jennifer Lopez 	On the Floor - Single		Pop	10391931	231			4	4	2011	26/04/2011 20:37	27/04/2011 19:50	320	44100		MPEG audio file			2	28/04/2011 15:59				C:\Users\Chris\Music\MUSIC (FINISHED)\Jennifer Lopez\On the Floor - Single\On the Floor.mp3
Do It Like A Dude	Jessie J		Do It Like A Dude - Single		Pop	7813518	194			1		2010	20/04/2011 12:42	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jessie J\Do It Like A Dude - Single\Do It Like A Dude.mp3
Price Tag (feat B.o.B)	Jessie J	Jessica Cornish	Price Tag (feat. B.o.B) - EP		Pop	8875861	221			1		2011	29/04/2011 21:18	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Jessie J\Price Tag (feat. B.o.B) - EP\Price Tag (feat. B.o.B).mp3
Broken Record	Katy B		Broken Record		Pop	8531828	209			1		2011	20/04/2011 12:53	27/04/2011 19:50	320	44100	255	MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Katy B\Broken Record\Broken Record.mp3
Katy On a Mission	Katy B		Katy On a Mission - Single		Pop	10059065	251			2		2010	20/04/2011 13:06	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Katy B\Katy On a Mission - Single\Katy On a Mission.mp3
Lights On	Katy B		Lights On (feat. Ms Dynamite) - Single		Dance	8270976	206			1		2011	20/04/2011 13:07	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Katy B\Lights On (feat. Ms Dynamite) - Single\Lights On.mp3
E.T. (feat. Kayne West) 	Katy Perry		E.T. (feat. Kayne West) - Single		Pop	9260166	231			1		2011	28/03/2011 20:54	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Katy Perry\E.T. (feat. Kayne West) - Single\E.T. (feat. Kayne West).mp3
Firework	Katy Perry		Firework - Single		Pop	6186615	228			1	1	2010	15/04/2011 15:20	27/04/2011 19:50	207	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Katy Perry\Firework - Signle\Firework.mp3
I Kissed A Girl	Katy Perry		I Kissed a Girl - Single		Pop	7218059	180			1		2008	25/03/2011 14:11	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Katy Perry\I Kissed a Girl  - Single\I Kissed A Girl.mp3
All of the Lights (feat. Drake & Rihanna)	Kayne West	J. Bhasker/Kanye West	My Beautiful Dark Twisted Fantasy		Hip-Hop/Rap	13681307	299			5		2011	20/04/2011 12:54	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Kanye West\My Beautiful Dark Twisted Fantasy\All of the Lights (feat. Drake & Rihanna).mp3
Your Love Is My Drug	Ke$ha		Animal		Pop	7521653	187			1		2010	25/03/2011 14:11	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Ke$ha\Animal\Your Love Is My Drug.mp3
Blow	Ke$ha		Blow - Single		Pop	7206091	219			1	1	2010	29/04/2011 21:20	27/04/2011 19:50	256	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Ke$ha\Blow - Single\Blow.mp3
All The Lovers	Kylie Minogue	Jim Eliot/Mima Stilwell	Aphrodite		Blues	10627382	200			1		2010	20/04/2011 13:14	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Kylie Minougue\Aphrodite\All The Lovers.mp3
In For The Kill	La Roux		In for the Kill - EP		Pop	33283453	248			1		2009	29/04/2011 21:21	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\La Roux\In For The Kill.mp3
Born This Way	Lady Gaga		Born This Way - Single		Pop	10462217	260			1		2011	25/03/2011 14:12	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Lady Gaga\Born This Way - Single\Born This Way.mp3
Judas	Lady GaGa		Judas - Single		Pop	10110509	250			1		2011	20/04/2011 19:00	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Lady Gaga\Judas - Single\Judas.mp3
Drop The World  (feat. Eminem)	Lil Wayne		Rebirth (Bonus Track Version)		Hip-Hop/Rap	9176225	229			8		2010	20/04/2011 18:43	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Lil Wayne\Rebirth (Bonus Track Version)\Drop The World  (feat. Eminem).mp3
Party Rock Anthem (feat. Lauren Bennett & GoonRock) 	LMFAO	Stefan Gordy	Party Rock Anthem (feat. Lauren Bennett & GoonRock)  - Single		Pop	12168202	272			1		2010	20/04/2011 13:11	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\LMFAO\Party Rock Anthem (feat. Lauren Bennett & GoonRock)  - Single\Party Rock Anthem (feat. Lauren Bennett & GoonRock).mp3
Beggin	Madcon		Beggin - Single		R&B	7008268	218			1		2007	25/03/2011 14:12	27/04/2011 19:50	256	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Madcon\Beggin.mp3
Buzzin (Remix) [feat. 50 Cent]	Mann 		Buzzin (Remix) [feat. 50 Cent] - Single		Pop	9017577	224			1		2011	28/03/2011 20:53	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Mann\Buzzin (Remix) [feat. 50 Cent] - Single\Buzzin (Remix).mp3
Misery	Maroon 5	Soul Asylum	Misery - Single		Pop	6946439	216			1	1	2010	29/04/2011 21:22	27/04/2011 19:50	250	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Maroon 5\Misery - Single\Misery.mp3
Shine A Light	McFly & Taio Cruz		Shine a Light (feat. Taio Cruz)		Pop	8900078	218			1		2010	29/04/2011 21:22	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\McFly & Taio Cruz\Shine a Light (feat. Taio Cruz)\Shine A Light.mp3
Crazy Love 	Michael Buble 		Crazy Love (Hollywood Edition)		Pop	5264344	211			4		2010	11/04/2011 17:14	27/04/2011 19:50	192	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Michael Buble\Crazy Love\Crazy Love.mp3
Cooler Than Me	Mike Posner		Cooler Then Me - Single		Pop	8542946	213			1		2010	29/04/2011 21:23	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Mike Posner\Cooler Then Me - Single\Cooler Than Me.mp3
Best Behaviour	N-Dubz		Best Behaviour - Single		Pop	12130834	210			1		2010	20/04/2011 17:30	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\N-Dubz\Best Behaviour - Single\Best Behaviour.mp3
Strong Again	N-Dubz		We Dance On - Single		Hip-Hop/Rap	7864874	194			2		2010	06/04/2011 09:59	27/04/2011 19:50	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\N-Dubz\We Dance On - Single\Strong Again.mp3
One In A Million	Ne-Yo	Chuck Harmony	Libra Scale		Soul and R&B	9100519	243			6	10	2010	20/04/2011 17:30	27/04/2011 19:50	196	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Ne-Yo\Libra Scale\One In A Million.mp3
Just A Dream	Nelly		Just A Dream - Single		Pop	9518976	237					2010	25/03/2011 14:14	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Nelly\Just A Dream - Single\Just A Dream.mp3
Animal	Neon Trees		Animal - Single		Alternative	8515628	212			1		2011	29/04/2011 21:24	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Neon Trees\Animal.mp3
Me & You	Nero		Me & You - EP		Pop	9475549	235			1		2011	25/03/2011 14:14	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Nero\Me & You - EP\Me & You.mp3
Dont hold your breath	Nicole Scherzinger		Don't Hold Your Breath - Single		Pop	5289195	197			1	2	2011	29/04/2011 21:24	27/04/2011 19:50	208	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Nicole Scherzinger\Don't Hold Your Breath - Single\Dont Hold Your Breath.mp3
